barrels08,barrelsA08,charge120,charge240,city08,city08U,cityA08,cityA08U,cityCD,cityE,cityUF,co2,co2A,co2TailpipeAGpm,co2TailpipeGpm,comb08,comb08U,combA08,combA08U,combE,combinedCD,combinedUF,cylinders,displ,drive,engId,eng_dscr,feScore,fuelCost08,fuelCostA08,fuelType,fuelType1,ghgScore,ghgScoreA,highway08,highway08U,highwayA08,highwayA08U,highwayCD,highwayE,highwayUF,hlv,hpv,id,lv2,lv4,make,model,mpgData,phevBlended,pv2,pv4,range,rangeCity,rangeCityA,rangeHwy,rangeHwyA,trany,UCity,UCityA,UHighway,UHighwayA,VClass,year,youSaveSpend,guzzler,trans_dscr,tCharger,sCharger,atvType,fuelType2,rangeA,evMotor,mfrCode,c240Dscr,charge240b,c240bDscr,createdOn,modifiedOn,startStop,phevCity,phevHwy,phevComb
10.6325806452,0,0,0,28,0,0,0,0,0,0,-1,-1,0,286.6774193548,31,0,0,0,0,0,0,4,1.6,Front-Wheel Drive,13,,-1,1300,0,Premium,Premium Gasoline,-1,-1,36,0,0,0,0,0,0,17,80,29703,0,0,MINI,Clubman,Y,false,0,0,0,0,0,0,0,Manual 6-spd,36.8043,0,51.6555,0,Subcompact Cars,2010,250,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
10.6325806452,0,0,0,28,0,0,0,0,0,0,-1,-1,0,286.6774193548,31,0,0,0,0,0,0,4,1.6,Front-Wheel Drive,30,,-1,1050,0,Regular,Regular Gasoline,-1,-1,34,0,0,0,0,0,0,16,92,29714,0,12,Kia,Rio,N,false,0,92,0,0,0,0,0,Manual 5-spd,36.6799,0,48.3188,0,Compact Cars,2010,1500,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
10.6325806452,0,0,0,27,0,0,0,0,0,0,-1,-1,0,286.6774193548,31,0,0,0,0,0,0,4,1.6,Front-Wheel Drive,23,,-1,1050,0,Regular,Regular Gasoline,-1,-1,36,0,0,0,0,0,0,16,92,29856,0,0,Hyundai,Accent Blue,Y,false,0,0,0,0,0,0,0,Manual 5-spd,35.1726,0,50.8205,0,Compact Cars,2010,1500,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
10.987,0,0,0,27,0,0,0,0,0,0,-1,-1,0,296.2333333333,30,0,0,0,0,0,0,4,2,Front-Wheel Drive,6,,-1,1100,0,Regular,Regular Gasoline,-1,-1,36,0,0,0,0,0,0,0,0,26367,12,15,Kia,Forte,Y,false,90,97,0,0,0,0,0,Automatic 5-spd,34.3743,0,50.9,0,Compact Cars,2010,1250,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
10.987,0,0,0,26,0,0,0,0,0,0,-1,-1,0,296.2333333333,30,0,0,0,0,0,0,4,1.8,Front-Wheel Drive,4,,-1,1100,0,Regular,Regular Gasoline,-1,-1,35,0,0,0,0,0,0,0,0,26377,0,12,Toyota,Corolla,Y,false,0,92,0,0,0,0,0,Manual 5-spd,34,0,50,0,Compact Cars,2010,1250,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
10.987,0,0,0,32,0,0,0,0,0,0,-1,-1,0,296.2333333333,30,0,0,0,0,0,0,6,3.5,Front-Wheel Drive,18,Hybrid; PR,-1,1350,0,Premium,Premium Gasoline,-1,-1,28,0,0,0,0,0,0,0,0,26473,0,0,Lexus,RX 450h,Y,false,0,0,0,0,0,0,0,Automatic (AV-S6),41.4485,0,39.0959,0,Sport Utility Vehicle - 2WD,2010,0,,,,,Hybrid,,,288V Ni-MH,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,Y,0,0,0
10.987,0,0,0,27,0,0,0,0,0,0,-1,-1,0,296.2333333333,30,0,0,0,0,0,0,4,1.6,Front-Wheel Drive,192,,-1,1100,0,Regular,Regular Gasoline,-1,-1,35,0,0,0,0,0,0,0,0,28552,0,7,Chevrolet,Aveo 5,Y,false,0,91,0,0,0,0,0,Manual 5-spd,34.8,0,48.9,0,Subcompact Cars,2010,1250,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
10.987,0,0,0,25,0,0,0,0,0,0,-1,-1,0,296.2333333333,30,0,0,0,0,0,0,4,2.2,Front-Wheel Drive,210,,-1,1100,0,Regular,Regular Gasoline,-1,-1,37,0,0,0,0,0,0,0,0,28556,14,0,Chevrolet,Cobalt XFE Coupe,Y,false,83,0,0,0,0,0,0,Manual 5-spd,32.8,0,51.9,0,Subcompact Cars,2010,1250,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
10.987,0,0,0,25,0,0,0,0,0,0,-1,-1,0,296.2333333333,30,0,0,0,0,0,0,4,2.2,Front-Wheel Drive,212,,-1,1100,0,Regular,Regular Gasoline,-1,-1,37,0,0,0,0,0,0,0,0,28567,14,0,Pontiac,G5 XFE,N,false,83,0,0,0,0,0,0,Manual 5-spd,32.8,0,51.9,0,Subcompact Cars,2010,1250,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
10.987,0,0,0,27,0,0,0,0,0,0,-1,-1,0,296.2333333333,30,0,0,0,0,0,0,4,1.6,Front-Wheel Drive,191,,-1,1100,0,Regular,Regular Gasoline,-1,-1,35,0,0,0,0,0,0,0,0,28581,0,12,Chevrolet,Aveo,N,false,0,91,0,0,0,0,0,Manual 5-spd,34.8,0,48.9,0,Compact Cars,2010,1250,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
10.987,0,0,0,25,0,0,0,0,0,0,-1,-1,0,296.2333333333,30,0,0,0,0,0,0,4,2.2,Front-Wheel Drive,211,,-1,1100,0,Regular,Regular Gasoline,-1,-1,37,0,0,0,0,0,0,0,0,28584,0,14,Chevrolet,Cobalt XFE Sedan,Y,false,0,86,0,0,0,0,0,Manual 5-spd,32.8,0,51.9,0,Compact Cars,2010,1250,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
